	ALB.17_ERR1713331_db11.ganon_report.tre	AUS.18_ERR1713332_db11.ganon_report.tre	AUS.18a_ERR1713333_db11.ganon_report.tre	AUT.70_ERR1713334_db11.ganon_report.tre	BGR.66_ERR1713335_db11.ganon_report.tre	BRA.53_ERR1713336_db11.ganon_report.tre	BRA.53a_ERR1713337_db11.ganon_report.tre	BWA.19_ERR1713338_db11.ganon_report.tre	CAN.22_ERR1713339_db11.ganon_report.tre	CAN.22a_ERR1713340_db11.ganon_report.tre	CAN.22b_ERR1713341_db11.ganon_report.tre	CAN.22c_ERR1713342_db11.ganon_report.tre	CHE.67_ERR1713343_db11.ganon_report.tre	CHN.64_ERR1713344_db11.ganon_report.tre	CIV.13_ERR1713345_db11.ganon_report.tre	COL.2_ERR1713346_db11.ganon_report.tre	CZE.23_ERR1713347_db11.ganon_report.tre	DEU.27_ERR1713348_db11.ganon_report.tre	DNK.71_RA_ERR1713349_db11.ganon_report.tre	DNK.71_RD_ERR1713350_db11.ganon_report.tre	DNK.71_RL_ERR1713351_db11.ganon_report.tre	ECU.14_ERR1713352_db11.ganon_report.tre	ECU.14a_ERR1713353_db11.ganon_report.tre	ESP.75_ERR1713354_db11.ganon_report.tre	ETH.24_ERR1713355_db11.ganon_report.tre	FIN.25_ERR1713356_db11.ganon_report.tre	GEO.59_ERR1713357_db11.ganon_report.tre	GHA.4_ERR1713358_db11.ganon_report.tre	HRV.68_ERR1713360_db11.ganon_report.tre	HUN.61_ERR1713361_db11.ganon_report.tre	IND.11_ERR1713362_db11.ganon_report.tre	IRL.69_ERR1713363_db11.ganon_report.tre	IRN.12_ERR1713364_db11.ganon_report.tre	ISL.28_ERR1713365_db11.ganon_report.tre	ISR.29_ERR1713366_db11.ganon_report.tre	ITA.30_ERR1713367_db11.ganon_report.tre	KAZ.6_ERR1713368_db11.ganon_report.tre	KEN.72_ERR1713369_db11.ganon_report.tre	KHM.21_ERR1713370_db11.ganon_report.tre	LKA.40_ERR1713371_db11.ganon_report.tre	LUX.32_ERR1713372_db11.ganon_report.tre	LVA.31_ERR1713373_db11.ganon_report.tre	MDA.65_ERR1713374_db11.ganon_report.tre	MKD.62_ERR1713375_db11.ganon_report.tre	MLT.63_ERR1713376_db11.ganon_report.tre	MYS.54_ERR1713377_db11.ganon_report.tre	NGA.50_ERR1713378_db11.ganon_report.tre	NLD.43_ERR1713379_db11.ganon_report.tre	NOR.34_ERR1713380_db11.ganon_report.tre	NPL.33_ERR1713381_db11.ganon_report.tre	NZL.56_ERR1713382_db11.ganon_report.tre	PAK.7_ERR1713384_db11.ganon_report.tre	PER.35_ERR1713385_db11.ganon_report.tre	POL.36_ERR1713383_db11.ganon_report.tre	SEN.8_ERR1713386_db11.ganon_report.tre	SGP.52_ERR1713387_db11.ganon_report.tre	SRB.37_ERR1713388_db11.ganon_report.tre	SVK.9_ERR1713389_db11.ganon_report.tre	SVN.38_ERR1713390_db11.ganon_report.tre	SWE.41_ERR1713391_db11.ganon_report.tre	SWE.41a_ERR1713392_db11.ganon_report.tre	TCD.1_ERR1713393_db11.ganon_report.tre	TGO.44_ERR1713394_db11.ganon_report.tre	TUR.46_ERR1713395_db11.ganon_report.tre	TZA.15_ERR1713396_db11.ganon_report.tre	USA.74_ERR1713397_db11.ganon_report.tre	USA.74a_ERR1713398_db11.ganon_report.tre	USA.74b_ERR1713399_db11.ganon_report.tre	USA.74c_ERR1713400_db11.ganon_report.tre	USA.74d_ERR1713401_db11.ganon_report.tre	USA.74e_ERR1713402_db11.ganon_report.tre	USA.74f_ERR1713403_db11.ganon_report.tre	USA.74g_ERR1713404_db11.ganon_report.tre	USA.74h_ERR1713405_db11.ganon_report.tre	USA.74i_ERR1713406_db11.ganon_report.tre	VNM.48_ERR1713407_db11.ganon_report.tre	XK.60_ERR1713408_db11.ganon_report.tre	ZAF.39_ERR1713409_db11.ganon_report.tre	ZMB.49_ERR1713410_db11.ganon_report.tre	ZMB.49b_ERR1713411_db11.ganon_report.tre
Candidatus Viadribacter	0	0	0	0	0	0	3	1	0	0	0	0	0	267	0	0	1	0	2	1	2	0	0	0	0	0	3	0	0	0	0	1	0	1	0	14	2	1	0	0	0	0	1	0	4	0	3	4	0	0	4	0	0	1	0	3	0	0	0	13	4	0	1	0	0	280	2	966	0	0	0	0	2	0	1	0	1	0	0	1
Flagellatimonas	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Venatoribacter	8	0	0	5	7	14	2	4	2	0	2	7	13	4	13	1	5	6	75	27	10	21	1	2	15	11	0	10	4	3	4	12	5	7	0	3	3	14	1	0	24	13	6	5	125	2	4	0	4	19	6	62	91	34	27	4	4	8	13	28	10	0	13	24	15	5	0	0	12	9	6	1	7	35	67	1401	11	10	8	4
Halalkalibacterium (ex Joshi et al. 2022)	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	2	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	3	4	0	0	0	0	56	0	1	0	2	0	5	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0
Halalkalibacter	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Shouchella	3	0	1	1	0	2	1	0	0	0	0	0	1	0	4	6	0	1	1	1	0	0	2	1	2	1	0	1	0	0	0	0	0	0	1	1	0	0	4	1	1	0	1	0	0	0	4	0	1	292	1	4	1	3	4	0	1	0	2	0	0	0	3	0	0	7	0	0	1	0	0	0	0	3	1	0	0	1	0	0
Alkalihalophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0
Aegicerativicinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	13	0	0	0	0
Allosaccharopolyspora	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zophobihabitans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfomarina	2	0	0	0	0	0	0	4	0	0	2	3	0	3	0	0	0	0	12	1	3	0	1	2	1	1	0	5	1	0	0	0	0	3	0	1	2	1	12	0	1	0	1	2	1	5	0	0	0	0	4	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	3	0	11
Metamycoplasma	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	1	0	0	2	0	0	2	0	0	0	4	0	0	0	1	1	0	0	1	0	4	0	2	26	0	0	22	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	0	2	0	0	6	2	8	0
Fulvia	6	0	0	0	1	2	2	0	0	0	0	1	0	3	0	0	3	0	1	1	1	1	0	0	1	3	0	0	1	1	0	0	6	3	0	0	0	3	0	0	1	0	1	1	2	2	1	1	0	4	0	0	3	0	3	0	6	0	1	0	2	0	0	0	3	0	1	0	2	2	0	1	0	0	0	0	0	0	3	0
Paralysiella	1338	14736	2053	1221	2751	3452	72	3235	1307	419	2830	17117	825	199	4465	95	656	851	2898	7520	2871	1058	93	1648	14565	19778	232	110	875	196	876	1812	1653	4659	460	836	1531	18755	100	1197	2077	1966	302	1552	1538	304	5589	72	1844	1449	2915	2604	1089	515	442	632	1083	2564	2316	18932	11907	12	134	131	1177	4014	982	189	5582	4430	4500	1939	406	7534	854	381	1316	1750	1002	820
Mergibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0
Cercospora	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0
Stutzerimonas	2584	200	142	742	508	536	1817	1479	113	32	443	1859	3675	738	5636	101	507	589	2034	2029	1107	1867	1084	395	6201	481	452	2440	588	149	1425	1456	703	519	134	1204	1043	1350	540	1142	1343	3265	989	657	100684	909	5572	182	409	920	1256	2706	9646	670	15112	1003	1138	727	885	1062	598	33	1711	19545	3218	616	863	283	1032	528	674	232	271	3341	1765	5342	1611	938	3903	2632
Halopseudomonas	60	35	11	42	37	29	22	18	9	2	33	204	22	50	38	4	24	20	76	73	37	175	22	26	91	17	65	73	17	5	31	77	17	34	4	58	82	58	9	2030	50	16	20	11	187	25	21	8	8	9	262	56	93	21	118	20	34	24	17	47	32	21	306	291	62	38	21	12	56	48	54	10	9	188	100	3888	50	20	69	86
Denitrificimonas	177	101	73	637	173	738	27	95	36	14	113	167	48	80	485	14	252	242	668	636	357	144	7	134	1011	254	19	27	151	52	19	310	112	39	42	112	145	1341	10	17	377	140	158	140	10199	10	250	24	80	244	67	214	2477	465	269	60	179	300	207	650	230	0	53	328	675	75	53	51	337	491	402	135	89	1511	783	22	430	251	313	75
Aquimarina	2	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseivirga	2	0	0	1	2	0	0	0	2	0	0	1	0	2	0	0	0	0	29	8	7	10	3	1	2	1	0	1	2	0	0	9	2	0	0	0	0	0	0	0	3	0	4	1	5	0	0	0	7	2	1	3	1	1	0	2	0	0	0	7	4	0	23	14	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1
Phosphitispora	45	17	20	43	13	5	92	2	12	7	72	198	60	13	59	34	59	5	86	106	45	4	7	34	28	48	18	63	41	35	22	16	9	11	8	17	72	60	193	2	56	23	40	53	30	24	34	6	12	32	8	115	32	53	41	29	275	27	379	155	44	0	181	4	82	25	55	35	21	105	16	2	10	74	23	38	268	11	19	18
Mariniplasma	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	872	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0
Haploplasma	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	1	1	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	614	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Advenella	179	57	30	59	57	153	60	410	6	8	54	101	33	66	1529	47	102	75	94	155	53	122	23	97	418	59	50	141	85	9	67	242	43	47	20	95	104	453	707	49	207	27	120	41	674	47	257	13	65	229	79	539	338	52	2655	38	83	36	216	166	126	18	25071	88	283	72	86	19	144	411	204	38	55	390	125	75	502	233	861	278
Desulforapulum	0	0	0	1	0	0	102	0	0	0	0	0	1	0	0	2	0	1	3	2	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	5	0	2	0	2	3	4	0	3	0	0	1	0	0	1	0	2	0	0	2	1	2	1	0	1	6	0	0	0	0	0	0	0	0	0	0	2	1	2	3	0	0
Desulfosudis	1	1	0	1	0	0	0	4	0	0	0	1	0	3	7	2	1	3	1	0	0	0	9	1	4	0	0	33	0	0	0	0	0	0	0	1	2	4	0	0	0	1	3	1	1	0	7	0	0	7	0	4	0	3	1	0	0	3	0	0	0	0	0	0	2	0	0	0	4	3	1	0	0	4	0	0	0	1	4	3
Paraneptunicella	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Oceanidesulfovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Thermodesulfomicrobium	6	0	0	3	3	2	5	9	26	0	13	7	4	4	24	2	1	8	202	13	11	1	5	3	36	6	0	26	5	3	0	5	15	1	1	13	25	11	27	1	9	5	1	1	29	1	18	0	2	2	0	25	36	10	38	3	2	5	5	16	3	0	14	1	2	2	2	25	276	7	19	2	6	12	13	2	5	11	8	8
Candidatus Minimicrobia	13	3	2	22	1	16	17	19	1	1	27	19	17	4	74	53	3	4	7	23	6	1	51	5	31	11	2	0	17	2	13	11	3	3	0	3	8	23	46	7	12	3	8	26	1	4	52	1	2	344	4	163	43	15	30	4	14	4	54	74	2	0	1	2	23	16	13	7	21	14	15	14	7	59	7	1	33	36	45	14
Constantimarinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Oleidesulfovibrio	165	131	96	77	110	264	767	3709	121	40	200	531	35	487	1310	513	117	221	340	337	197	48	886	255	1803	177	23	1841	142	100	237	121	822	47	54	220	450	1975	2496	98	243	216	175	183	1348	71	1238	220	33	114	75	1682	1633	303	1880	958	106	373	198	621	100	1	1145	47	620	218	84	225	2555	190	1749	599	225	3245	841	128	303	740	1138	663
Geotalea	0	0	0	0	0	0	472	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	10	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	1	1	0	0	0
Solidesulfovibrio	216	60	93	113	104	83	3307	2157	37	10	120	325	57	401	385	14238	65	172	314	338	199	31	2279	168	418	118	10	426	180	29	925	121	351	93	27	291	191	403	7363	62	325	88	56	101	146	178	566	22	55	41	52	5194	484	134	1205	227	183	323	419	369	97	8	439	7	178	294	31	90	1370	60	619	828	370	1082	277	216	483	1281	1940	2323
Aquibium	1	1	0	4	5	0	0	11	1	0	7	5	6	7	1	1	4	4	15	6	5	0	18	1	0	1	0	2	0	1	1	3	2	2	1	7	0	1	1	0	7	3	1	4	1	1	3	1	1	7	0	13	3	5	1	4	4	2	7	27	4	0	2	0	2	6	2	7	4	2	6	1	2	7	13	18	2	4	1	0
Lacinutrix	0	1	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Changpingibacter	134	66	193	79	55	407	92	2996	21	15	104	342	33	417	4336	147	215	119	125	221	148	96	307	49	6387	162	12	1128	263	17	240	78	279	25	20	436	124	9894	165	54	135	72	83	138	29	125	3845	19	46	9080	157	2231	208	268	1982	56	342	171	408	112	51	9	29	35	520	209	249	22	96	834	129	55	15	268	593	86	96	659	1396	1335
Spiractinospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Sulfidibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulforamulus	1	0	2	1	0	0	0	2	1	1	20	6	1	3	7	4	68	2	27	1	0	0	0	2	2	1	0	41	0	50	0	0	0	1	3	2	0	1	1	1	0	3	0	0	2	0	0	23	1	2	0	0	1	28	2	1	3	0	1746	14	0	0	0	0	3	22	12	3	0	1	0	1	1	15	5	1	0	1	0	0
Leptothermofonsia	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pontimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novacetimonas	0	1	0	2	0	0	0	0	0	0	1	0	1	1	2	0	0	0	4	0	0	0	1	0	8	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	3	4	0	0	1	0	3	4	2	1	0	0	0	25	0	0	0	0	0	0	1	3	0	1	0	0	0	4	0
Vandammella	3	7	5	0	1	14	3	14	0	0	2	3	7	4	121	2	7	7	4	16	6	3	1	3	36	5	0	6	4	1	6	0	6	3	2	4	6	157	1	6	13	6	8	3	11	2	37	0	1	2	2	12	27	7	11	14	7	2	2	22	5	0	1	1	57	1	1	1	7	0	12	2	3	12	22	5	5	24	9	7
Vaginimicrobium	1	1	1	3	0	2	0	1	0	0	0	1	0	0	1	0	0	1	2	6	2	0	0	0	2	0	0	0	0	0	0	4	0	0	1	0	0	1	1	1	1	1	0	5	0	2	7	0	0	14	0	4	4	1	2	0	0	0	3	2	0	0	0	0	1	0	0	0	0	1	5	0	2	1	2	1	1	3	1	1
Alloyangia	4	0	0	1	0	1	0	0	0	0	1	3	0	0	0	0	2	0	0	2	3	1	0	1	5	1	0	0	2	0	2	0	2	0	0	0	0	5	1	0	1	0	3	0	2	0	3	0	1	4	0	1	4	0	0	0	1	0	2	3	3	0	0	2	0	16	2	0	1	1	2	0	0	2	2	7	3	1	0	0
Thermosediminibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Natronosporangium	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phototrophicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Sulfidibacterium	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	37	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Mesomycoplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avibacterium	0	0	0	0	0	7	0	120	0	0	0	1	0	1	66	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	3	0	2	0	0	1	1	1	0	0	0	0	0	0	4	1	17	0	0	0	0	4	68	0	10	12	0	0	1	1	0	0	0	0	18	2	0	2	13	1	8	0	3	0	0	0	0	1	7	0
Acididesulfobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Subdoligranulum	1149	197	288	2155	365	530	210	740	73	49	498	1703	569	162	407	1458	911	459	1538	3864	1805	105	1057	501	2381	1155	42	22	372	172	784	2091	606	421	358	427	492	1263	503	146	1757	570	560	1310	439	545	1429	37	605	2807	349	876	1395	1497	920	158	1716	1012	3426	3978	1450	2	50	63	1069	817	1045	149	2298	1878	1435	492	300	2003	865	38	2486	1711	1401	802
Laceyella	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Christiangramia	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	1	3	0	0	0	0	0	0	0	15	0	0	0	0	0	8	23	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	5	1	0	0	0	0	1	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	1	76	0	0	0	0
Candidatus Rhabdochlamydia	1	0	1	2	1	0	5	0	1	0	9	6	6	0	1	219	1	0	0	0	0	6	0	0	0	1	0	0	5	0	0	0	0	0	0	3	0	0	3	0	3	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	8	6	24	0	2	0	0	0	0	1	0	0	0	1	1	0	0	16	2	0	1	3	0	0
Natronococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Periweissella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0
Martelella	57	14	8	56	14	26	26	98	8	2	34	118	33	37	67	11	36	27	25	52	19	26	55	12	38	56	3	37	19	6	39	101	36	18	9	69	34	42	58	6	125	11	33	26	14	35	42	3	15	47	23	47	41	29	73	29	47	29	64	121	49	0	53	25	13	237	59	32	71	41	157	59	13	105	138	61	82	83	63	30
Alicyclobacillus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	2	1	0	0	0	1	0	1	1	1	0
Amphibacillus	0	0	0	2	0	1	2	0	0	0	3	0	0	0	0	0	0	0	1	2	2	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	3	5	1	0	0	1	0	1	11	1	0	0	0	19	0	1	0	0	0	2	0	0	2	1	0	0	70	0	20	3	0	1	1	55	0	1	0	0	0	0	0	0	1	0
Haloquadratum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
Allomeiothermus	8	8	10	40	15	3	1	3	1	3	11	43	20	8	1	1	17	7	62	81	40	1	8	54	31	99	0	2	11	0	12	47	3	254	6	5	210	5	3	1	95	26	1	5	6	20	0	0	81	5	8	18	3	31	2	6	7	17	82	37	90	1	1	0	3894	12	33	12	3	76	1	0	3	110	9	0	17	4	2	1
Dolosigranulum	4	0	8	0	4	4	8	2	0	0	8	5	0	8	12	5	3	5	7	8	6	0	2	7	14	2	0	27	3	1	13	4	8	1	0	6	14	28	5	1	5	1	2	4	4	4	8	3	1	90	1	20	9	50	13	2	7	0	24	13	4	1	966	0	48	8	1	0	8	17	6	0	2	17	2	3	6	14	8	6
Saccharococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Microlunatus	232	254	73	779	195	274	49	59	26	12	159	534	67	809	186	151	354	55	478	1395	460	117	560	105	310	189	14	18	117	22	59	202	52	41	17	83	177	213	209	36	1257	366	194	107	69	582	650	9	108	447	1383	1019	330	123	534	73	407	115	267	344	283	4	6	6	49	173	289	54	274	214	172	76	39	758	95	24	310	559	172	128
Rhodoplanes	0	0	0	0	0	0	2	4	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
